300900,392300,262700,328300,308600,284400,337000,211000,160400,163200,
4482800,5082100,4004800,4443300,4082500,3492700,4982100,3927400,3768200,3387600, 
7421,7473,7510,7660,7476,7471,7760,7781,8177,8592,
,,,,,,,,,, 

17632, 18225, 17899, 16743, 16786, 16982, 17147, 16763, 16659, 16934, 
1558500, 2051500, 1909000, 1998200, 2032700, 1984800, 2896600, 1939800, 2117500, 1820100, 
7952, 8227, 7639, 7724, 8225, 7481, 7676, 7578, 8248, 7581, 
