175400,164000,158800,159200,159200,158800,158800,172500,159600,158800,nano,,,,,,,,,,,,,,,,,,,, 
3371000,3280700,3295100,3562200,3391600,3132100,3429500,4165900,3671600,3542100,nano,,,,,,,,,,,,,,,,,,,,
9855,9552,9594,9703,9783,10655,10623,10475,10963,10338,milli,,,,,,,,,,,,,,,,,,,,
22342,22174,22566,24211,23958,23756,23036,22688,22957,22670,milli,,,,,,,,,,,,,,,,,,,,

1712900, 1672000, 1716100, 1919600, 1798000, 1532700, 1554600, 1589000, 1634000, 2021600, 
1591000, 1601200, 2194200, 1996200, 2051900, 2138900, 1974900, 1827900, 1663600, 1451900, 
